epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.1305031031370163,0.001,0.0,0.23242068863267382
1,0.0,0.09188379695996862,0.001,0.0,0.1510517796125318
2,0.0,0.0662698890151355,0.001,0.0,0.04544016880354858
3,0.0,0.05016619328574594,0.001,0.0,0.11666517686374082
4,0.0,0.0412608804318852,0.001,0.0,0.1390999163514728
5,0.0,0.03311011344744948,0.001,0.0,0.03510105677793179
6,0.0,0.027509128395009217,0.001,0.0,0.013587988334423472
7,0.0,0.018033464200647886,0.001,0.0,0.023131892688370542
8,0.0,0.01510537429506262,0.001,0.0,0.0036400326780987482
9,0.0,0.013026255820625521,0.001,0.0,0.009572595554596648
10,0.0,0.00960251670147251,0.001,0.0,0.002370280229854696
11,0.0,0.00600555897438027,0.001,0.0,0.0020461202799250816
12,0.0,0.0051784607893764385,0.001,0.0,0.0022482931624818133
13,0.0,0.0033891945733262106,0.001,0.0,0.0027624345715719693
14,0.0,0.003007214503784852,0.001,0.0,0.0028090964752740316
15,0.0,0.002556900716882217,0.001,0.0,0.002520354789523454
16,0.0,0.0027075310982075597,0.001,0.0,0.0032348721815741123
17,0.0,0.0024389341608919385,0.001,0.0,0.0022705612750609262
18,0.0,0.0025673055914666484,0.001,0.0,0.005029070145341787
19,0.0,0.002083777170743004,0.001,0.0,0.0033533770692615174
20,0.0,0.003964989877643128,0.001,0.0,0.004308226506935153
21,0.0,0.0024800480121466803,0.001,0.0,0.02858107422795055
22,0.0,0.002172439366010169,0.001,0.0,0.011667575418783967
23,0.0,0.0020650768436931916,0.001,0.0,0.0023189875037177682
24,0.0,0.0010659487449490635,0.001,0.0,0.0020497392542893067
25,0.0,0.000924473611770996,0.001,0.0,0.0021118607244877546
26,0.0,0.001212145882361027,0.001,0.0,0.002112212893667773
27,0.0,0.000782303363638196,0.001,0.0,0.0021683717567446124
28,0.0,0.0008188016212882538,0.001,0.0,0.002221066136940513
29,0.0,0.000769922727996511,0.001,0.0,0.0022696667143876042
30,0.0,0.0013770880768295799,0.001,0.0,0.0021772834286982595
31,0.0,0.0008110046780122252,0.001,0.0,0.002345153701484772
32,0.0,0.0008444964972879793,0.001,0.0,0.002427453730812209
33,0.0,0.001047050376010375,0.001,0.0,0.002191425999769886
34,0.0,0.0011125360558204022,0.001,0.0,0.0020641912353509496
35,0.0,0.003676030396316384,0.001,0.0,0.002853247520411754
36,0.0,0.0010585808017396648,0.001,0.0,0.002404605594447589
37,0.0,0.00179571146145463,0.001,0.0,0.002307803805612413
38,0.0,0.0018550364642972907,0.001,0.0,0.0022142672087776985
39,0.0,0.0013513905973990305,0.001,0.0,0.002269289849424652
40,0.0,0.0006533548483347493,0.001,0.0,0.002199851792234597
41,0.0,0.0005931253552154679,0.001,0.0,0.002444274249266411
42,0.0,0.000586014454025922,0.001,0.0,0.0023373243027066198
43,0.0,0.000567786412323903,0.001,0.0,0.002211964702098332
44,0.0,0.0007299520901124466,0.001,0.0,0.002197655233032107
45,0.0,0.0007028232921853092,0.001,0.0,0.002124501052605025
46,0.0,0.000587240627363526,0.001,0.0,0.002062200969869324
47,0.0,0.0005798951570424044,0.001,0.0,0.0023498770295307695
48,0.0,0.0005635786970034746,0.001,0.0,0.0022334879347308653
49,0.0,0.0009273144997440719,0.001,0.0,0.0021708622163194896
50,0.0,0.0009385270568062758,0.001,0.0,0.002900974354202047
51,0.0,0.0005443592984779862,0.001,0.0,0.00298875790626589
52,0.0,0.0006802176346708768,0.001,0.0,0.002961495007879009
53,0.0,0.0005227763087057458,0.001,0.0,0.0024457037813182727
54,0.0,0.0012422335159785935,0.001,0.0,0.00227417648850775
55,0.0,0.0018113178151987694,0.001,0.0,0.005363568719797607
56,0.0,0.0010422516583804536,0.001,0.0,0.0018937929039319955
57,0.0,0.0008703204794566656,0.001,0.0,0.0019312458320505333
58,0.0,0.0005306505716837061,0.001,0.0,0.002173897352074204
59,0.0,0.000583165480205881,0.001,0.0,0.001969612880923799
60,0.0,0.0005983292284878108,0.001,0.0,0.0021332440008408247
61,0.0,0.0009092961140080203,0.001,0.0,0.002571670125035587
62,0.0,0.0011548624357341655,0.001,0.0,0.0019993459110920577
63,0.0,0.0005013082403542813,0.001,0.0,0.0025742662298662835
64,0.0,0.0004699007410362817,0.001,0.0,0.0022277634570362467
65,0.0,0.000628467799901843,0.001,0.0,0.0020611516500076534
66,0.0,0.0006233868149729684,0.001,0.0,0.0020768150606196517
67,0.0,0.0005184833408107412,0.001,0.0,0.002297556914227199
68,0.0,0.000507209431368564,0.001,0.0,0.002498640790704283
69,0.0,0.0007450166708913637,0.001,0.0,0.001945387110223918
70,0.0,0.0008951270086300821,0.001,0.0,0.002232826870375154
71,0.0,0.0009571163776890361,0.001,0.0,0.0016776962868704144
72,0.0,0.0006472259235747269,0.001,0.0,0.0027454163342383988
