epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.08631738575273439,0.001,0.0,0.17506335815414786
1,0.0,0.04446066683648448,0.001,0.0,0.028985524928430095
2,0.0,0.028548022006687365,0.001,0.0,0.0028818892787967343
3,0.0,0.016953165383127175,0.001,0.0,0.0013671127790075843
4,0.0,0.009879595726593643,0.001,0.0,0.0032236545703199226
5,0.0,0.00862207665647331,0.001,0.0,0.0015456000201083953
6,0.0,0.004862081004926279,0.001,0.0,0.0018128899519069819
7,0.0,0.003653284772084781,0.001,0.0,0.004173777842424897
8,0.0,0.002358464444803662,0.001,0.0,0.007887969680268725
9,0.0,0.0016796458028501978,0.001,0.0,0.010799936455441639
10,0.0,0.0012328226090941921,0.001,0.0,0.0068080157798249274
11,0.0,0.0025318644358393563,0.001,0.0,0.00396547108903178
12,0.0,0.004195974277957391,0.001,0.0,0.026550823007710278
13,0.0,0.001236330183823348,0.001,0.0,0.004922133855870925
14,0.0,0.0013983090449504456,0.001,0.0,0.0009112416319112526
15,0.0,0.002003509472093643,0.001,0.0,0.0015735900360596133
16,0.0,0.001105356189299001,0.001,0.0,0.00033645860401065875
17,0.0,0.0009174013995920847,0.001,0.0,0.00038174272674496024
18,0.0,0.0005674022768002224,0.001,0.0,0.00036899665246892255
19,0.0,0.0005766151111844776,0.001,0.0,0.00030648114307041396
20,0.0,0.0007499021417874917,0.001,0.0,0.0018307141908735503
21,0.0,0.000991687711824565,0.001,0.0,0.0021102860027895076
22,0.0,0.000992279687182561,0.001,0.0,0.0007610148340972955
23,0.0,0.0010692279733790968,0.001,0.0,0.0006871703039905697
24,0.0,0.0007887973195944429,0.001,0.0,0.0005832536681964484
25,0.0,0.00093692444224871,0.001,0.0,0.003012337425388978
26,0.0,0.0005714262131828276,0.001,0.0,0.0016140609141075402
27,0.0,0.0005010471946135161,0.001,0.0,0.0015075608007464325
28,0.0,0.0005156519431023442,0.001,0.0,0.0029807567243551603
29,0.0,0.0006538404278552135,0.001,0.0,0.0027894972681679064
30,0.0,0.0007330396901364254,0.001,0.0,0.00206434387155241
31,0.0,0.0006965836571716385,0.001,0.0,0.0023215997807710664
32,0.0,0.000697053824402055,0.001,0.0,0.002706909992866713
33,0.0,0.001979432600867432,0.001,0.0,0.006678611163806636
34,0.0,0.0011925839428410033,0.001,0.0,0.012493532878579572
35,0.0,0.0007866662611425119,0.001,0.0,0.006523267598822713
36,0.0,0.0014258579498441816,0.001,0.0,0.002609446089991252
37,0.0,0.0030500891109879473,0.001,0.0,0.0032604206971882377
38,0.0,0.0013448092455387508,0.001,0.0,0.0018767851620395959
39,0.0,0.0011735933435327178,0.001,0.0,0.0017412374354535132
40,0.0,0.0008644323833945428,0.001,0.0,0.0011324056599733012
41,0.0,0.0013314853033271471,0.001,0.0,0.015078375756274909
42,0.0,0.0009727320448483193,0.001,0.0,0.007606723949720617
43,0.0,0.000791676998778712,0.001,0.0,0.007767268441966735
44,0.0,0.0014632746137258916,0.001,0.0,0.006735218717949465
45,0.0,0.0027776314310214824,0.001,0.0,0.0036825270144618116
46,0.0,0.002413910073166909,0.001,0.0,0.004514246080361772
47,0.0,0.0013389476224179625,0.001,0.0,0.00304247244639555
48,0.0,0.0009498942264288321,0.001,0.0,0.005243755702394992
49,0.0,0.0019651269395437434,0.001,0.0,0.00031629715317649243
50,0.0,0.0016890744688632703,0.001,0.0,0.0007569398635496327
