epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.06502929115163282,0.001,0.0,0.032537911169854876
1,0.0,0.03866612997474929,0.001,0.0,0.03695586837571243
2,0.0,0.02601951956198427,0.001,0.0,0.026382396883088088
3,0.0,0.01793651479144989,0.001,0.0,0.016814324417578175
4,0.0,0.012363416518960973,0.001,0.0,0.01212107144259467
5,0.0,0.00929333187015773,0.001,0.0,0.013697868021517038
6,0.0,0.007598317322307473,0.001,0.0,0.0069411484813638805
7,0.0,0.005404225396900782,0.001,0.0,0.004570126210588399
8,0.0,0.004025519699353743,0.001,0.0,0.0050576063978521315
9,0.0,0.003276945399166328,0.001,0.0,0.00503216408023363
10,0.0,0.0030811065291811534,0.001,0.0,0.0035797955552597754
11,0.0,0.0022090793153720684,0.001,0.0,0.0037968693988677574
12,0.0,0.002060895805760961,0.001,0.0,0.0032921227711950212
13,0.0,0.0016238705416810996,0.001,0.0,0.0033115159999464495
14,0.0,0.0014378855508417258,0.001,0.0,0.003205665219185204
15,0.0,0.0014199828528317399,0.001,0.0,0.0029455746731633695
16,0.0,0.0019814287630033683,0.001,0.0,0.003124372646547487
17,0.0,0.0018060390864443859,0.001,0.0,0.0029031777619265235
18,0.0,0.001735679276822034,0.001,0.0,0.002359060621381503
19,0.0,0.0020019434216969043,0.001,0.0,0.0023700858197976972
20,0.0,0.0018013524312498462,0.001,0.0,0.002181489399867706
21,0.0,0.002476075439360635,0.001,0.0,0.002998156636480811
22,0.0,0.001993098681026455,0.001,0.0,0.0023858573530305158
23,0.0,0.0012817970216687164,0.001,0.0,0.002503871380379011
24,0.0,0.0010577764819729432,0.001,0.0,0.002356604984221668
25,0.0,0.0013075619613409977,0.001,0.0,0.002356905686144896
26,0.0,0.0009750827059196767,0.001,0.0,0.0022684278753999014
27,0.0,0.0011467275306068618,0.001,0.0,0.0022094701520015895
28,0.0,0.0010754486967137387,0.001,0.0,0.0022183730022688145
29,0.0,0.0007536685644199366,0.001,0.0,0.002205222710597746
30,0.0,0.0011788759061727178,0.001,0.0,0.0023644025263484347
31,0.0,0.0012058952726937573,0.001,0.0,0.002187766051585121
32,0.0,0.0013285095701934633,0.001,0.0,0.002962461459964257
33,0.0,0.0009462674094760891,0.001,0.0,0.002343691872299352
34,0.0,0.0010975588068912,0.001,0.0,0.002783040265398435
35,0.0,0.0015269889940136099,0.001,0.0,0.0022729403128744757
36,0.0,0.0008547569520707274,0.001,0.0,0.0024699612346245118
37,0.0,0.0008120506994995137,0.001,0.0,0.002242017420303903
38,0.0,0.0007626435110400536,0.001,0.0,0.002358705905334063
39,0.0,0.0006223113057857352,0.001,0.0,0.0025463470450757023
40,0.0,0.0006437482078057333,0.001,0.0,0.0028451799126235845
41,0.0,0.0006988745433934437,0.001,0.0,0.0027586659687164634
42,0.0,0.0007648302160152992,0.001,0.0,0.002124112720481978
43,0.0,0.0017110799927278215,0.001,0.0,0.0022243604168933565
44,0.0,0.0010099986650100152,0.001,0.0,0.0025076710190646938
45,0.0,0.0010864859626954191,0.001,0.0,0.0022614101599443136
46,0.0,0.0009390782562584566,0.001,0.0,0.002291416298392174
47,0.0,0.0019203802230056796,0.001,0.0,0.0037841398187648057
48,0.0,0.0007140204746831264,0.001,0.0,0.0028340817002460287
49,0.0,0.0006735507073970466,0.001,0.0,0.0032236385150950773
50,0.0,0.0005795686694121291,0.001,0.0,0.003271798172109305
51,0.0,0.000676484300245719,0.001,0.0,0.003333714650060366
52,0.0,0.000663471387256524,0.001,0.0,0.003013965567058262
53,0.0,0.00068433970637881,0.001,0.0,0.003041482190813355
54,0.0,0.0006845130374668891,0.001,0.0,0.0029936108200802536
55,0.0,0.0005163617970896748,0.001,0.0,0.0030973179865782744
56,0.0,0.0004628110000877435,0.001,0.0,0.003586687986180416
57,0.0,0.0010498301018536402,0.001,0.0,0.0029565583498175874
58,0.0,0.001351941145670926,0.001,0.0,0.003080927069371181
59,0.0,0.0009350476388216221,0.001,0.0,0.003590664417374526
60,0.0,0.0007482744424903233,0.001,0.0,0.004905982847308873
61,0.0,0.0005718060903047014,0.001,0.0,0.006161173049898432
62,0.0,0.0005748739195534537,0.001,0.0,0.0053929685972851195
63,0.0,0.0007089180430268933,0.001,0.0,0.006991700473438783
64,0.0,0.0005739521299886834,0.001,0.0,0.005154440851866043
65,0.0,0.0006050863204319764,0.001,0.0,0.006844376878792264
66,0.0,0.0006204250829496187,0.001,0.0,0.005325642807651174
67,0.0,0.0004859978540713344,0.001,0.0,0.005936833143835254
68,0.0,0.0006937542041359937,0.001,0.0,0.006230609363869401
69,0.0,0.0006466577927182828,0.001,0.0,0.006703756302033134
70,0.0,0.0007549985968553705,0.001,0.0,0.008844556081340433
71,0.0,0.0006247837831360274,0.0005,0.0,0.008458528802168137
72,0.0,0.0004819061032500981,0.0005,0.0,0.008207144932832863
73,0.0,0.000436719709128747,0.0005,0.0,0.008326016989275079
74,0.0,0.00041605239396277135,0.0005,0.0,0.007660963897148303
75,0.0,0.00046478665189810664,0.0005,0.0,0.007646621136382461
76,0.0,0.0004048007448648878,0.0005,0.0,0.007195442924425098
77,0.0,0.00039717330817555264,0.0005,0.0,0.00780354119209903
78,0.0,0.0004337515542627739,0.0005,0.0,0.007996545627706322
79,0.0,0.00044411435689469756,0.0005,0.0,0.00848679503040581
80,0.0,0.0005156710636951121,0.0005,0.0,0.007990749346395138
81,0.0,0.0004444596609398906,0.0005,0.0,0.007172398699282352
82,0.0,0.0005008341909989513,0.0005,0.0,0.007737506217704031
83,0.0,0.00048333936216931315,0.0005,0.0,0.006916102373472465
84,0.0,0.0004260005448598488,0.0005,0.0,0.00773679663563661
85,0.0,0.0004490267986023404,0.0005,0.0,0.00817864889501516
