epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.007704158913426725,0.001,0.00014156285074295842,0.0071915780971271576
1,0.0,0.0030219420407017867,0.001,0.00014156285074295842,0.008051020583330489
2,0.0,0.002500161458049979,0.001,0.00014156285074295842,0.006914649146271677
3,0.0,0.0022906835897472397,0.001,0.00014156285074295842,0.007150022841922986
4,0.0,0.0020132742499877595,0.001,0.00014156285074295842,0.007447887602254528
5,0.0,0.001905137978252161,0.001,0.00014156285074295842,0.006361565277191378
6,0.0,0.001958266625483635,0.001,0.00014156285074295842,0.00661303954419493
7,0.0,0.001878160822464456,0.001,0.00014156285074295842,0.007506146144639479
8,0.0,0.0025325110220875626,0.001,0.00014156285074295842,0.008414689523345292
9,0.0,0.0020852586996553493,0.001,0.00014156285074295842,0.006899398741035369
10,0.0,0.0024116469798477714,0.001,0.00014156285074295842,0.006620606922000515
11,0.0,0.0016544104790030588,0.001,0.00014156285074295842,0.0060697230495045966
12,0.0,0.0019146141382805966,0.001,0.00014156285074295842,0.006088417006075045
13,0.0,0.0011626445926872673,0.001,0.00014156285074295842,0.005487021345211417
14,0.0,0.0014089327956448893,0.001,0.00014156285074295842,0.0065820520185524535
15,0.0,0.0018429007275681485,0.001,0.00014156285074295842,0.004788481110452654
16,0.0,0.0024772281293972886,0.001,0.00014156285074295842,0.005861652340932584
17,0.0,0.001439989695705134,0.001,0.00014156285074295842,0.005209011269310695
18,0.0,0.0017719159970573824,0.001,0.00014156285074295842,0.004584175331151739
19,0.0,0.0017219263146427263,0.001,0.00014156285074295842,0.00490733675638284
20,0.0,0.0013066808256696856,0.001,0.00014156285074295842,0.00472317211234303
21,0.0,0.0013946521668259072,0.001,0.00014156285074295842,0.005595712127182514
22,0.0,0.0019995321472647963,0.001,0.00014156285074295842,0.004759165544704892
23,0.0,0.0014346879149966052,0.001,0.00014156285074295842,0.004070727299994702
24,0.0,0.0014580286949817916,0.001,0.00014156285074295842,0.004281224570741012
25,0.0,0.0012419501304043814,0.001,0.00014156285074295842,0.004589708849032117
26,0.0,0.001620672195587821,0.001,0.00014156285074295842,0.004134741218790505
27,0.0,0.0014546991648064155,0.001,0.00014156285074295842,0.004729353470979716
28,0.0,0.0016481205878384742,0.001,0.00014156285074295842,0.006110745243385326
29,0.0,0.001058624927734433,0.001,0.00014156285074295842,0.005231655382531625
30,0.0,0.0010013337642197574,0.001,0.00014156285074295842,0.0072638010239209705
31,0.0,0.001479903012949955,0.001,0.00014156285074295842,0.005938230288439077
32,0.0,0.0018155540278286953,0.001,0.00014156285074295842,0.005438782747886899
33,0.0,0.0012421648102936339,0.001,0.00014156285074295842,0.004797045010563375
34,0.0,0.0014117583983722303,0.001,0.00014156285074295842,0.004332269023666902
35,0.0,0.0011701280233367653,0.001,0.00014156285074295842,0.004273798095602814
36,0.0,0.001193667229797159,0.001,0.00014156285074295842,0.004134681962763391
37,0.0,0.0013969708145183184,0.001,0.00014156285074295842,0.004171931291238131
38,0.0,0.0010014770901188475,0.001,0.00014156285074295842,0.004121649238607637
39,0.0,0.000817056654108312,0.001,0.00014156285074295842,0.004016294231136651
40,0.0,0.0007341372811469465,0.001,0.00014156285074295842,0.004178929035338718
41,0.0,0.0007665566380337578,0.001,0.00014156285074295842,0.004827352877573081
42,0.0,0.0009029833562649199,0.001,0.00014156285074295842,0.0054975000508433
43,0.0,0.0008521046775640928,0.001,0.00014156285074295842,0.0044549950045892715
44,0.0,0.001108864476139258,0.001,0.00014156285074295842,0.00478954902638104
45,0.0,0.0006900920367483141,0.001,0.00014156285074295842,0.004556931231950417
46,0.0,0.0009021650488818697,0.001,0.00014156285074295842,0.0055554866877458794
47,0.0,0.0013638518196117738,0.001,0.00014156285074295842,0.008220829716803836
48,0.0,0.001205659968081146,0.001,0.00014156285074295842,0.004516110851351353
49,0.0,0.0014016256648175455,0.001,0.00014156285074295842,0.005001178930573812
